Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
AM,Antero Midstream Corporation,5.35,+0.13,+2.49%,7.172M,5.274M,2.55B
CVE,Cenovus Energy Inc.,4.3500,+0.2400,+5.84%,7.16M,5.124M,5.329B
WBA,"Walgreens Boots Alliance, Inc.",36.28,+1.01,+2.86%,8.224M,6.812M,31.438B
TME,Tencent Music Entertainment Group,15.71,+0.16,+1.03%,7.026M,10.677M,26.354B
BTG,B2Gold Corp.,6.89,-0.08,-1.15%,6.964M,8.071M,7.209B
CLDR,"Cloudera, Inc.",11.18,+0.05,+0.45%,6.989M,6.106M,3.457B
NKE,"NIKE, Inc.",118.59,-0.68,-0.57%,6.881M,6.141M,184.987B
WPX,"WPX Energy, Inc.",4.7000,+0.3100,+7.06%,7.657M,8.694M,2.703B
MRVL,Marvell Technology Group Ltd.,38.08,-0.92,-2.37%,8.156M,7.808M,25.521B
ZM,"Zoom Video Communications, Inc.",408.17,-2.77,-0.67%,6.747M,8.533M,116.092B
SPCE,"Virgin Galactic Holdings, Inc.",17.41,-0.29,-1.64%,6.674M,17.351M,3.663B
GPS,"The Gap, Inc.",17.24,+0.37,+2.19%,6.645M,13.814M,6.699B
RCL,Royal Caribbean Group,69.61,+1.92,+2.84%,6.579M,11.848M,14.943B
SBSW,Sibanye Stillwater Limited,12.63,-0.19,-1.48%,6.687M,2.736M,8.446B
DIS,The Walt Disney Company,132.09,+0.85,+0.65%,5.989M,11.654M,238.695B
WYNN,"Wynn Resorts, Limited",79.66,-2.62,-3.18%,6.592M,4.79M,8.591B
SABR,Sabre Corporation,7.00,+0.29,+4.32%,7.701M,7.906M,2.219B
HMY,Harmony Gold Mining Company Limited,6.11,-0.25,-3.93%,6.395M,9.342M,3.655B
DVN,Devon Energy Corporation,9.76,+0.53,+5.74%,7.375M,8.101M,3.736B
FTI,TechnipFMC plc,7.33,+0.51,+7.48%,6.317M,5.679M,3.24B
GFI,Gold Fields Limited,14.46,-0.02,-0.14%,6.346M,8.639M,12.447B
RRC,Range Resources Corporation,7.83,+0.45,+6.10%,5.822M,7.216M,2.005B
QCOM,QUALCOMM Incorporated,114.56,-2.02,-1.73%,6.342M,9.289M,129.255B
ABBV,AbbVie Inc.,89.78,-1.13,-1.24%,6.113M,6.984M,158.446B
